시군구,경도,위도,상해정도 정보,상해정도 갯수_x,상해정도 갯수_y
경기도 김포시 통진읍,126.597295654,37.691790782,경상: 11<br>부상신고: 3<br>사망: 1<br>중상: 3,1,1
경기도 김포시 풍무동,126.721975498,37.602409177,경상: 18<br>부상신고: 1<br>중상: 3,1,1
경기도 김포시 하성면,126.631333668,37.720183421,경상: 1<br>중상: 1,1,1
경기도 남양주시 금곡동,127.198047189,37.633064043,경상: 4<br>중상: 1,2,2
경기도 남양주시 다산동,127.160914378,37.615288279,경상: 25<br>부상신고: 6<br>중상: 10,1,1
경기도 남양주시 도농동,127.153153436,37.600479995,경상: 1<br>부상신고: 1<br>중상: 2,1,1
경기도 남양주시 별내동,127.121891294,37.646178331,경상: 24<br>부상신고: 4<br>중상: 9,1,1
경기도 남양주시 별내면,127.125012642,37.702701293,경상: 6<br>중상: 1,25,25
경기도 남양주시 수동면,127.320540837,37.709712049,경상: 2<br>중상: 1,6,6
경기도 남양주시 수석동,127.170363413,37.588234804,중상: 1,2,2
경기도 남양주시 오남읍,127.213222715,37.695002146,경상: 20<br>부상신고: 2<br>중상: 5,12,12
경기도 남양주시 와부읍,127.216645799,37.585349545,경상: 14<br>부상신고: 6<br>중상: 6,8,8
경기도 남양주시 일패동,127.187141768,37.616355955,경상: 1,1,1
경기도 남양주시 조안면,127.339596916,37.598051713,경상: 4<br>부상신고: 2<br>중상: 1,3,3
경기도 남양주시 지금동,127.160961902,37.602343459,경상: 3,1,1
경기도 남양주시 진건읍,127.198017466,37.642162628,경상: 9<br>부상신고: 1<br>중상: 3,3,3
경기도 남양주시 진접읍,127.189898613,37.726395647,경상: 42<br>부상신고: 3<br>중상: 15,2,2
경기도 남양주시 퇴계원면,0.0,0.0,경상: 11<br>부상신고: 2<br>중상: 4,7,7
경기도 남양주시 퇴계원읍,127.144653406,37.649341461,경상: 2<br>중상: 1,9,9
경기도 남양주시 평내동,127.234192456,37.652978129,경상: 7<br>부상신고: 2<br>중상: 5,8,8
경기도 남양주시 호평동,127.258948348,37.654734728,경상: 18<br>부상신고: 2<br>중상: 6,10,10
경기도 남양주시 화도읍,127.347792117,37.658232713,경상: 43<br>부상신고: 4<br>중상: 14,8,8
경기도 동두천시 보산동,127.061309162,37.917660733,경상: 1<br>부상신고: 1,3,3
경기도 동두천시 상패동,127.044017154,37.905571054,경상: 1,8,8
경기도 동두천시 생연동,127.060298175,37.903604474,경상: 9<br>부상신고: 2<br>사망: 1<br>중상: 5,2,2
경기도 동두천시 송내동,127.053230577,37.890882556,경상: 2<br>중상: 3,5,5
경기도 동두천시 지행동,127.053230577,37.890882556,경상: 15<br>부상신고: 5<br>중상: 5,7,7
경기도 동두천시 탑동동,127.092658621,37.891840045,중상: 1,2,2
경기도 부천시 고강동,126.822046373,37.532176655,경상: 15<br>부상신고: 2<br>중상: 3,1,1
경기도 부천시 괴안동,126.815074946,37.485386316,경상: 12<br>중상: 3,1,1
경기도 부천시 내동,126.784962676,37.522509751,경상: 3<br>부상신고: 2<br>중상: 2,2,2
경기도 부천시 도당동,126.785369128,37.506146547,경상: 9<br>부상신고: 1,1,1
경기도 부천시 범박동,126.809367268,37.470161555,경상: 4<br>중상: 3,1,1
경기도 부천시 삼정동,126.772727951,37.520823463,경상: 1,8,8
경기도 부천시 상동,126.753266157,37.501732632,경상: 23<br>부상신고: 5<br>중상: 8,1,1
경기도 부천시 소사동,126.794625684,37.485881821,경상: 3,3,3
경기도 부천시 소사본동,126.791032446,37.482247191,경상: 19<br>부상신고: 1<br>중상: 5,8,8
경기도 부천시 송내동,126.772994787,37.484251136,경상: 19<br>중상: 2,5,5
경기도 부천시 심곡동,126.778717315,37.488281967,경상: 20<br>부상신고: 3<br>중상: 2,4,4
경기도 부천시 심곡본동,126.774631728,37.483618629,경상: 14<br>부상신고: 1<br>중상: 5,2,2
경기도 부천시 약대동,126.771315108,37.513304959,경상: 2<br>부상신고: 1,1,1
경기도 부천시 여월동,126.80177303,37.513741908,경상: 2<br>부상신고: 2<br>중상: 1,33,33
경기도 부천시 역곡동,126.808238875,37.484989026,경상: 8<br>부상신고: 1<br>중상: 5,2,2
경기도 부천시 오정동,126.78330587,37.524368616,경상: 14<br>부상신고: 3<br>중상: 2,17,17
경기도 부천시 옥길동,126.821866043,37.471659246,경상: 5<br>중상: 3,6,6
경기도 부천시 원미동,126.791459053,37.493847292,경상: 16<br>부상신고: 1<br>중상: 5,3,3
경기도 부천시 원종동,126.807878455,37.518649916,경상: 22<br>부상신고: 2<br>중상: 12,1,1
경기도 부천시 작동,126.815587049,37.51194434,경상: 3,1,1
경기도 부천시 중동,126.766975736,37.490874344,경상: 53<br>부상신고: 10<br>중상: 16,3,3
경기도 부천시 춘의동,126.783103753,37.50153198,경상: 9<br>중상: 3,1,1
경기도 성남시 분당구 구미동,127.127977301,37.342071447,경상: 7<br>중상: 4,4,4
경기도 성남시 분당구 금곡동,127.102637513,37.358817838,경상: 3<br>중상: 1,9,9
경기도 성남시 분당구 백현동,127.110835058,37.388555713,경상: 4<br>중상: 2,2,2
경기도 성남시 분당구 분당동,127.131120893,37.370215106,경상: 3,7,7
경기도 성남시 분당구 삼평동,127.11631699,37.406123269,경상: 3<br>부상신고: 1<br>중상: 2,14,14
경기도 성남시 분당구 서현동,127.14065569,37.385123146,경상: 10<br>부상신고: 6<br>중상: 7,4,4
경기도 성남시 분당구 수내동,127.12796322,37.366794771,경상: 18<br>부상신고: 3<br>사망: 1<br>중상: 7,2,2
경기도 성남시 분당구 야탑동,127.151958672,37.406527076,경상: 13<br>부상신고: 4<br>중상: 4,10,10
경기도 성남시 분당구 운중동,127.082974541,37.3941184,경상: 9<br>중상: 3,3,3
경기도 성남시 분당구 이매동,127.132506795,37.398874717,경상: 4<br>부상신고: 1<br>중상: 1,5,5
경기도 성남시 분당구 정자동,127.105004643,37.362995893,경상: 9<br>부상신고: 1<br>중상: 7,7,7
경기도 성남시 분당구 판교동,127.099368095,37.386686564,경상: 11<br>중상: 4,1,1
경기도 성남시 수정구 고등동,127.09434686,37.430306135,중상: 1,3,3
경기도 성남시 수정구 단대동,127.159963166,37.456195154,경상: 3<br>부상신고: 1<br>중상: 3,7,7
경기도 성남시 수정구 둔전동,127.113255527,37.427868197,중상: 1,4,4
경기도 성남시 수정구 복정동,127.126679942,37.461835522,경상: 1<br>부상신고: 1,1,1
경기도 성남시 수정구 산성동,127.154357478,37.455228735,경상: 3<br>부상신고: 1,2,2
경기도 성남시 수정구 수진동,127.12520741,37.434326717,경상: 9<br>부상신고: 1<br>중상: 6,16,16
경기도 성남시 수정구 신흥동,127.148322627,37.44252876,경상: 10<br>중상: 5,2,2
경기도 성남시 수정구 양지동,127.160935055,37.454875437,경상: 3<br>중상: 1,15,15
경기도 성남시 수정구 창곡동,127.14269524,37.473448128,경상: 18<br>부상신고: 4<br>중상: 4,2,2
